ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
DK-328,LITHONIA INDUSTRIAL BOULEVARD EXTENSION - PHASE III,DeKalb County,2020,DeKalb County,0,4,1.2,0006889,FROM HILLANDALE DRIVE TO EVANS MILL ROAD - DESIGN PHASE WILL INCLUDE ACCESS MANAGEMENT PLAN,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,2006,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$168,000","$0,000","$168,000","$7,641,600","$608,800","$2,330,088","$0,000","$10,580,488"
DK-328,LITHONIA INDUSTRIAL BOULEVARD EXTENSION - PHASE III,DeKalb County,2020,DeKalb County,0,4,1.2,0006889,FROM HILLANDALE DRIVE TO EVANS MILL ROAD - DESIGN PHASE WILL INCLUDE ACCESS MANAGEMENT PLAN,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE-OV,AUTH,2011,STP - Statewide Flexible (GDOT),"$40,000","$10,000","$0,000","$0,000","$50,000","$7,641,600","$608,800","$2,330,088","$0,000","$10,580,488"
DK-328,LITHONIA INDUSTRIAL BOULEVARD EXTENSION - PHASE III,DeKalb County,2020,DeKalb County,0,4,1.2,0006889,FROM HILLANDALE DRIVE TO EVANS MILL ROAD - DESIGN PHASE WILL INCLUDE ACCESS MANAGEMENT PLAN,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,  ,2011,STP - Urban (>200K) (ARC),"$2,395,200","$598,800","$0,000","$0,000","$2,994,000","$7,641,600","$608,800","$2,330,088","$0,000","$10,580,488"
DK-328,LITHONIA INDUSTRIAL BOULEVARD EXTENSION - PHASE III,DeKalb County,2020,DeKalb County,0,4,1.2,0006889,FROM HILLANDALE DRIVE TO EVANS MILL ROAD - DESIGN PHASE WILL INCLUDE ACCESS MANAGEMENT PLAN,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,  ,2011,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$860,488","$0,000","$860,488","$7,641,600","$608,800","$2,330,088","$0,000","$10,580,488"
DK-328,LITHONIA INDUSTRIAL BOULEVARD EXTENSION - PHASE III,DeKalb County,2020,DeKalb County,0,4,1.2,0006889,FROM HILLANDALE DRIVE TO EVANS MILL ROAD - DESIGN PHASE WILL INCLUDE ACCESS MANAGEMENT PLAN,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2012,STP - Urban (>200K) (ARC),"$5,206,400","$0,000","$1,301,600","$0,000","$6,508,000","$7,641,600","$608,800","$2,330,088","$0,000","$10,580,488"
